objectid,stopid,main_street,cross_street,direction,benches,lat,lon
353,1788,NW 87 AV,NW 30 TE,S,0,25.80254,-80.337313
354,1789,NW 87 AV,NW 29 ST,S,0,25.800881,-80.337275
355,1790,NW 87 AV,NW 25 ST,S,0,25.797572,-80.337187
356,1791,NW 87 AV,NW 25 ST,S,0,25.796221,-80.337143
357,1792,NW 87 AV,NW 21 TE,S,0,25.793527,-80.337062
358,1795,NW 97 AV,NW 33 ST,N,0,25.804201,-80.353264
359,588,NW 97 AV,NW 41 ST,S,0,25.811066,-80.353598
360,1796,NW 97 AV,NW 33 ST,S,0,25.804074,-80.353378
361,9863,NW 99 AV,NW 21 ST,N,0,25.794819,-80.357025
362,9864,NW 99 AV,NW 25 ST,N,0,25.796672,-80.357082
363,9865,NW 99 AV,NW 25 ST,S,0,25.796557,-80.357223
364,9866,NW 99 AV,NW 21 ST,S,0,25.794749,-80.357155
365,1799,NW 107 AV,NW 12 ST,N,2,25.784592,-80.368468
366,10221,NW 107 AV,NW 14 ST,N,0,25.7865,-80.368558
367,10222,NW 107 AV,NW 15 ST,N,0,25.788174,-80.368606
368,1800,NW 107 AV,NW 19 ST,N,0,25.792128,-80.368715
369,1801,NW 107 AV,NW 25 ST,N,0,25.796534,-80.368919
370,10223,NW 107 AV,NW 25 ST,N,0,25.797168,-80.368947
371,9588,NW 107 AV,NW 27 ST,N,0,25.799251,-80.369061
